frame type (0: base 1: event), frame identifier, segment number, frame size, event occurred, map to cam samp. time
0,68,2,12304,-100,-100
0,68,3,12304,-100,-100
0,68,4,12304,-100,-100
0,68,5,12304,-100,-100
0,68,6,12304,-100,-100
0,68,7,12304,-100,-100
0,68,8,12304,-100,-100
0,68,9,12304,-100,-100
0,68,10,12304,-100,-100
0,68,11,12304,-100,-100
0,68,12,12304,-100,-100
0,68,13,2008,-100,-100
1,70,-1,157560,4.612589565,4.61458
1,70,0,12304,-100,-100
1,70,1,12304,-100,-100
1,70,2,12304,-100,-100
1,70,3,12304,-100,-100
1,70,4,12304,-100,-100
1,70,5,12304,-100,-100
1,70,6,12304,-100,-100
1,70,7,12304,-100,-100
1,70,8,12304,-100,-100
1,70,9,12304,-100,-100
1,70,10,12304,-100,-100
1,70,11,12304,-100,-100
1,70,12,12304,-100,-100
1,70,13,1864,-100,-100
0,71,-1,134896,4.69167,4.69167
0,71,0,12304,-100,-100
0,71,1,12304,-100,-100
0,71,2,12304,-100,-100
0,71,3,12304,-100,-100
0,71,4,12304,-100,-100
0,71,5,12304,-100,-100
0,71,6,12304,-100,-100
0,71,7,12304,-100,-100
0,71,8,12304,-100,-100
0,71,9,12304,-100,-100
0,71,10,12304,-100,-100
0,71,11,3200,-100,-100
0,72,-1,187840,4.76875,4.76875
0,72,0,12304,-100,-100
0,72,1,12304,-100,-100
0,72,2,12304,-100,-100
0,72,3,12304,-100,-100
0,72,4,12304,-100,-100
0,72,5,12304,-100,-100
0,72,6,12304,-100,-100
0,72,7,12304,-100,-100
0,72,8,12304,-100,-100
0,72,9,12304,-100,-100
0,72,10,12304,-100,-100
0,72,11,12304,-100,-100
0,72,12,12304,-100,-100
0,72,13,12304,-100,-100
0,72,14,12304,-100,-100
0,72,15,8144,-100,-100
0,73,-1,154272,4.84583,4.84583
0,73,0,12304,-100,-100
0,73,1,12304,-100,-100
0,73,2,12304,-100,-100
0,73,3,12304,-100,-100
0,73,4,12304,-100,-100
0,73,5,12304,-100,-100
0,73,6,12304,-100,-100
0,73,7,12304,-100,-100
0,73,8,12304,-100,-100
0,73,9,12304,-100,-100
0,73,10,12304,-100,-100
0,73,11,12304,-100,-100
0,73,12,10576,-100,-100
0,74,-1,124064,4.92292,4.92292
0,74,0,12304,-100,-100
0,74,1,12304,-100,-100
0,74,2,12304,-100,-100
0,74,3,12304,-100,-100
0,74,4,12304,-100,-100
0,74,5,12304,-100,-100
0,74,6,12304,-100,-100
0,74,7,12304,-100,-100
0,74,8,12304,-100,-100
0,74,9,12304,-100,-100
0,74,10,4368,-100,-100
0,75,-1,134896,5,5
0,75,0,12304,-100,-100
0,75,1,12304,-100,-100
0,75,2,12304,-100,-100
0,75,3,12304,-100,-100
0,75,4,12304,-100,-100
0,75,5,12304,-100,-100
0,75,6,12304,-100,-100
0,75,7,12304,-100,-100
0,75,8,12304,-100,-100
0,75,9,12304,-100,-100
0,75,10,12304,-100,-100
0,75,11,3200,-100,-100
0,76,-1,186448,5.07708,5.07708
0,76,0,12304,-100,-100
0,76,1,12304,-100,-100
0,76,2,12304,-100,-100
0,76,3,12304,-100,-100
0,76,4,12304,-100,-100
0,76,5,12304,-100,-100
0,76,6,12304,-100,-100
0,76,7,12304,-100,-100
0,76,8,12304,-100,-100
0,76,9,12304,-100,-100
0,76,10,12304,-100,-100
0,76,11,12304,-100,-100
0,76,12,12304,-100,-100
0,76,13,12304,-100,-100
0,76,14,12304,-100,-100
0,76,15,6752,-100,-100
0,77,-1,152928,5.15417,5.15417
0,77,0,12304,-100,-100
0,77,1,12304,-100,-100
0,77,2,12304,-100,-100
0,77,3,12304,-100,-100
0,77,4,12304,-100,-100
0,77,5,12304,-100,-100
0,77,6,12304,-100,-100
0,77,7,12304,-100,-100
0,77,8,12304,-100,-100
0,77,9,12304,-100,-100
0,77,10,12304,-100,-100
0,77,11,12304,-100,-100
0,77,12,9232,-100,-100
0,78,-1,124096,5.23125,5.23125
0,78,0,12304,-100,-100
0,78,1,12304,-100,-100
0,78,2,12304,-100,-100
0,78,3,12304,-100,-100
0,78,4,12304,-100,-100
0,78,5,12304,-100,-100
0,78,6,12304,-100,-100
0,78,7,12304,-100,-100
0,78,8,12304,-100,-100
0,78,9,12304,-100,-100
